ML Model Name,Accuracy,AUC,Precision,Recall,F1 Score,MCC
Logistic Regression,0.7419,0.834501475493119,0.3230035756853397,0.7781765972720747,0.45651716150768584,0.3770616070521121
Random Forest,0.7749,0.820361454736712,0.3423952975753123,0.669059583632448,0.45297691373025517,0.35870418455159003
Decision Tree,0.7184,0.7447764724467163,0.29177641205736027,0.715721464465183,0.4145530145530146,0.3172574039213082
Gaussian Naive Bayes,0.7798,0.793336714610914,0.3330581923235658,0.5793251974156497,0.4229559748427673,0.3164365768816086
K-Nearest Neighbors,0.8519,0.7264260354703858,0.43452380952380953,0.2096195262024408,0.2828087167070218,0.2288443993471054
